		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)
NonHavenCIT_RATE	$\text{Non-haven}_j\times\text{CIT}_{it}$ $ (\gamma_2)$	0.056***	0.078***	0.058***	0.045***	0.007	-0.015	0.047***	0.125	0.094	0.056***	0.078***	0.058***	0.045***	0.007	-0.015	0.047***	0.125	0.094	0.056***	0.078***	0.058***	0.045***	0.007	-0.015	0.047***	0.125	0.094	0.056***	0.078***	0.058***	0.045***	0.007	-0.015	0.047***	0.125	0.094	0.056***	0.078***	0.058***	0.045***	0.007	-0.015	0.047***	0.125	0.094	0.056***	0.078***	0.058***	0.045***	0.007	-0.015	0.047***	0.125	0.094	0.056***	0.078***	0.058***	0.045***	0.007	-0.015	0.047***	0.125	0.094	0.056***	0.078***	0.058***	0.045***	0.007	-0.015	0.047***	0.125	0.094	0.056***	0.078***	0.058***	0.045***	0.007	-0.015	0.047***	0.125	0.094	0.056***	0.078***	0.058***	0.045***	0.007	-0.015	0.047***	0.125	0.094	0.056***	0.078***	0.058***	0.045***	0.007	-0.015	0.047***	0.125	0.094	0.056***	0.078***	0.058***	0.045***	0.007	-0.015	0.047***	0.125	0.094	0.056***	0.078***	0.058***	0.045***	0.007	-0.015	0.047***	0.125	0.094	0.056***	0.078***	0.058***	0.045***	0.007	-0.015	0.047***	0.125	0.094
		(0.010)	(0.013)	(0.013)	(0.008)	(0.016)	(0.020)	(0.011)	(0.107)	(0.078)	(0.010)	(0.013)	(0.013)	(0.008)	(0.016)	(0.020)	(0.011)	(0.107)	(0.078)	(0.010)	(0.013)	(0.013)	(0.008)	(0.016)	(0.020)	(0.011)	(0.107)	(0.078)	(0.010)	(0.013)	(0.013)	(0.008)	(0.016)	(0.020)	(0.011)	(0.107)	(0.078)	(0.010)	(0.013)	(0.013)	(0.008)	(0.016)	(0.020)	(0.011)	(0.107)	(0.078)	(0.010)	(0.013)	(0.013)	(0.008)	(0.016)	(0.020)	(0.011)	(0.107)	(0.078)	(0.010)	(0.013)	(0.013)	(0.008)	(0.016)	(0.020)	(0.011)	(0.107)	(0.078)	(0.010)	(0.013)	(0.013)	(0.008)	(0.016)	(0.020)	(0.011)	(0.107)	(0.078)	(0.010)	(0.013)	(0.013)	(0.008)	(0.016)	(0.020)	(0.011)	(0.107)	(0.078)	(0.010)	(0.013)	(0.013)	(0.008)	(0.016)	(0.020)	(0.011)	(0.107)	(0.078)	(0.010)	(0.013)	(0.013)	(0.008)	(0.016)	(0.020)	(0.011)	(0.107)	(0.078)	(0.010)	(0.013)	(0.013)	(0.008)	(0.016)	(0.020)	(0.011)	(0.107)	(0.078)	(0.010)	(0.013)	(0.013)	(0.008)	(0.016)	(0.020)	(0.011)	(0.107)	(0.078)	(0.010)	(0.013)	(0.013)	(0.008)	(0.016)	(0.020)	(0.011)	(0.107)	(0.078)
HavenCIT_RATE	$\text{Haven}_j\times\text{CIT}_{it}$ $ (\gamma_3)$	0.030	0.051*	0.049	0.007	-0.030	-0.070**	0.013	0.127	0.168*	0.030	0.051*	0.049	0.007	-0.030	-0.070**	0.013	0.127	0.168*	0.030	0.051*	0.049	0.007	-0.030	-0.070**	0.013	0.127	0.168*	0.030	0.051*	0.049	0.007	-0.030	-0.070**	0.013	0.127	0.168*	0.030	0.051*	0.049	0.007	-0.030	-0.070**	0.013	0.127	0.168*	0.030	0.051*	0.049	0.007	-0.030	-0.070**	0.013	0.127	0.168*	0.030	0.051*	0.049	0.007	-0.030	-0.070**	0.013	0.127	0.168*	0.030	0.051*	0.049	0.007	-0.030	-0.070**	0.013	0.127	0.168*	0.030	0.051*	0.049	0.007	-0.030	-0.070**	0.013	0.127	0.168*	0.030	0.051*	0.049	0.007	-0.030	-0.070**	0.013	0.127	0.168*	0.030	0.051*	0.049	0.007	-0.030	-0.070**	0.013	0.127	0.168*	0.030	0.051*	0.049	0.007	-0.030	-0.070**	0.013	0.127	0.168*	0.030	0.051*	0.049	0.007	-0.030	-0.070**	0.013	0.127	0.168*	0.030	0.051*	0.049	0.007	-0.030	-0.070**	0.013	0.127	0.168*
		(0.028)	(0.027)	(0.034)	(0.027)	(0.028)	(0.031)	(0.030)	(0.109)	(0.093)	(0.028)	(0.027)	(0.034)	(0.027)	(0.028)	(0.031)	(0.030)	(0.109)	(0.093)	(0.028)	(0.027)	(0.034)	(0.027)	(0.028)	(0.031)	(0.030)	(0.109)	(0.093)	(0.028)	(0.027)	(0.034)	(0.027)	(0.028)	(0.031)	(0.030)	(0.109)	(0.093)	(0.028)	(0.027)	(0.034)	(0.027)	(0.028)	(0.031)	(0.030)	(0.109)	(0.093)	(0.028)	(0.027)	(0.034)	(0.027)	(0.028)	(0.031)	(0.030)	(0.109)	(0.093)	(0.028)	(0.027)	(0.034)	(0.027)	(0.028)	(0.031)	(0.030)	(0.109)	(0.093)	(0.028)	(0.027)	(0.034)	(0.027)	(0.028)	(0.031)	(0.030)	(0.109)	(0.093)	(0.028)	(0.027)	(0.034)	(0.027)	(0.028)	(0.031)	(0.030)	(0.109)	(0.093)	(0.028)	(0.027)	(0.034)	(0.027)	(0.028)	(0.031)	(0.030)	(0.109)	(0.093)	(0.028)	(0.027)	(0.034)	(0.027)	(0.028)	(0.031)	(0.030)	(0.109)	(0.093)	(0.028)	(0.027)	(0.034)	(0.027)	(0.028)	(0.031)	(0.030)	(0.109)	(0.093)	(0.028)	(0.027)	(0.034)	(0.027)	(0.028)	(0.031)	(0.030)	(0.109)	(0.093)	(0.028)	(0.027)	(0.034)	(0.027)	(0.028)	(0.031)	(0.030)	(0.109)	(0.093)
																																																																																																																															
Observations		3,652	3,652	3,652	3,444	3,444	3,444	2,785	2,785	2,785	3,652	3,652	3,652	3,444	3,444	3,444	2,785	2,785	2,785	3,652	3,652	3,652	3,444	3,444	3,444	2,785	2,785	2,785	3,652	3,652	3,652	3,444	3,444	3,444	2,785	2,785	2,785	3,652	3,652	3,652	3,444	3,444	3,444	2,785	2,785	2,785	3,652	3,652	3,652	3,444	3,444	3,444	2,785	2,785	2,785	3,652	3,652	3,652	3,444	3,444	3,444	2,785	2,785	2,785	3,652	3,652	3,652	3,444	3,444	3,444	2,785	2,785	2,785	3,652	3,652	3,652	3,444	3,444	3,444	2,785	2,785	2,785	3,652	3,652	3,652	3,444	3,444	3,444	2,785	2,785	2,785	3,652	3,652	3,652	3,444	3,444	3,444	2,785	2,785	2,785	3,652	3,652	3,652	3,444	3,444	3,444	2,785	2,785	2,785	3,652	3,652	3,652	3,444	3,444	3,444	2,785	2,785	2,785	3,652	3,652	3,652	3,444	3,444	3,444	2,785	2,785	2,785
R-squared		0.492	0.626	0.913	0.562	0.625	0.938	0.421	0.592	0.940	0.492	0.626	0.913	0.562	0.625	0.938	0.421	0.592	0.940	0.492	0.626	0.913	0.562	0.625	0.938	0.421	0.592	0.940	0.492	0.626	0.913	0.562	0.625	0.938	0.421	0.592	0.940	0.492	0.626	0.913	0.562	0.625	0.938	0.421	0.592	0.940	0.492	0.626	0.913	0.562	0.625	0.938	0.421	0.592	0.940	0.492	0.626	0.913	0.562	0.625	0.938	0.421	0.592	0.940	0.492	0.626	0.913	0.562	0.625	0.938	0.421	0.592	0.940	0.492	0.626	0.913	0.562	0.625	0.938	0.421	0.592	0.940	0.492	0.626	0.913	0.562	0.625	0.938	0.421	0.592	0.940	0.492	0.626	0.913	0.562	0.625	0.938	0.421	0.592	0.940	0.492	0.626	0.913	0.562	0.625	0.938	0.421	0.592	0.940	0.492	0.626	0.913	0.562	0.625	0.938	0.421	0.592	0.940	0.492	0.626	0.913	0.562	0.625	0.938	0.421	0.592	0.940
$\gamma_2=\gamma_3$ (p)		0.369	0.336	0.800	0.175	0.135	0.0409	0.268	0.940	0.204	0.369	0.336	0.800	0.175	0.135	0.0409	0.268	0.940	0.204	0.369	0.336	0.800	0.175	0.135	0.0409	0.268	0.940	0.204	0.369	0.336	0.800	0.175	0.135	0.0409	0.268	0.940	0.204	0.369	0.336	0.800	0.175	0.135	0.0409	0.268	0.940	0.204	0.369	0.336	0.800	0.175	0.135	0.0409	0.268	0.940	0.204	0.369	0.336	0.800	0.175	0.135	0.0409	0.268	0.940	0.204	0.369	0.336	0.800	0.175	0.135	0.0409	0.268	0.940	0.204	0.369	0.336	0.800	0.175	0.135	0.0409	0.268	0.940	0.204	0.369	0.336	0.800	0.175	0.135	0.0409	0.268	0.940	0.204	0.369	0.336	0.800	0.175	0.135	0.0409	0.268	0.940	0.204	0.369	0.336	0.800	0.175	0.135	0.0409	0.268	0.940	0.204	0.369	0.336	0.800	0.175	0.135	0.0409	0.268	0.940	0.204	0.369	0.336	0.800	0.175	0.135	0.0409	0.268	0.940	0.204
All models include $ D_{ij}$ and a constant term. Dummies are added as specified above. FE drops $\zeta_i$. Robust standard errors in parantheses.																																																																																																																															
Standard errors are robust and clustered by distance. *** p<0.01, ** p<0.05, * p<0.1, + p<0.15																																																																																																																															
