ISO,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
JOR,25,25,25,25,14,14,14,14,14,20,20
KAZ,30,30,30,20,20,20,20,20,20,20,20
KEN,0,0,0,0,0,0,30,30,30,30,30
KOR,27.5,27.5,27.5,24.2,24.2,22,24.2,24.2,24.2,24.2,24.2
KWT,55,55,55,15,15,15,15,15,15,15,15
LVA,15,15,15,15,15,15,15,15,15,15,15
LBN,0,0,0,0,0,0,0,15,15,15,0
LBY,0,40,40,40,40,20,20,20,20,20,20
LIE,0,0,0,0,0,12.5,12.5,12.5,12.5,12.5,12.5
LTU,15,15,15,20,15,15,15,15,15,15,15
LUX,29.63,29.63,29.63,28.59,28.59,28.8,28.8,29.22,29.22,29.22,29.22
MAC,12,12,12,12,12,12,12,12,12,12,12
MKD,15,12,10,10,10,10,10,10,10,10,0
MWI,0,0,0,0,0,0,30,30,30,30,30
MYS,28,27,26,25,25,25,25,25,25,25,24
MLT,35,35,35,35,35,35,35,35,35,35,35
MUS,25,22.5,15,15,15,15,15,15,15,15,15
MEX,29,28,28,28,30,30,30,30,30,30,30
MDA,0,0,0,0,0,0,0,0,0,12,0
MNE,9,9,9,9,9,9,9,9,9,9,9
MAR,0,0,0,0,0,0,0,30,30,30,31
MOZ,32,32,32,32,32,32,32,32,32,32,32
NAM,0,0,0,0,0,34,34,33,33,33,32
NLD,29.6,25.5,25.5,25.5,25.5,25,25,25,25,25,25
NZL,33,33,30,30,30,28,28,28,28,28,28
NGA,30,30,30,30,30,30,30,30,30,30,30
NOR,28,28,28,28,28,28,28,28,27,27,25
OMN,12,12,12,12,12,12,12,12,12,12,12
PAK,35,35,35,35,35,35,35,35,34,33,32
PAN,30,30,30,30,27.5,25,25,25,25,25,25
PNG,30,30,30,30,30,30,30,30,30,30,0
PRY,10,10,10,10,10,10,10,10,10,10,0
PER,30,30,30,30,30,30,30,30,30,28,0
PHL,35,35,35,30,30,30,30,30,30,30,30
POL,19,19,19,19,19,19,19,19,19,19,19
PRT,27.5,25,25,25,25,25,25,25,23,21,21
QAT,35,35,35,35,10,10,10,10,10,10,0
ROU,16,16,16,16,16,16,16,16,16,16,16
RUS,24,24,24,20,20,20,20,20,20,20,20
WSM,29,27,27,27,27,27,27,27,27,27,0
SAU,20,20,20,20,20,20,20,20,20,20,20
SRB,10,10,10,10,10,10,10,15,15,15,15
SLE,0,0,0,0,0,0,0,0,30,30,30
SGP,20,20,18,18,17,17,17,17,17,17,17
SXM,0,0,0,0,0,34.5,34.5,34.5,34.5,34.5,34.5
SVK,19,19,19,19,19,19,19,23,22,22,22
SVN,25,23,22,21,20,20,18,17,17,17,17
ZAF,36.89,36.89,34.55,34.55,34.55,34.55,34.55,28,28,28,28
ESP,35,32.5,30,30,30,30,30,30,30,28,25
LKA,32.5,35,35,35,35,28,28,28,28,28,15
SDN,35,30,15,15,15,35,35,35,35,35,0
SUR,0,0,0,0,0,0,0,36,34.5,0,0
SWE,28,28,28,26.3,26.3,26.3,26.3,22,22,22,22
CHE,21.3,20.63,19.2,18.96,18.75,18.31,18.06,18.01,17.92,17.92,0
SYR,35,28,28,28,28,28,28,22,22,22,0
TWN,25,25,25,25,17,17,17,17,17,17,17
TZA,0,0,0,30,30,30,30,30,30,30,30
THA,30,30,30,30,30,30,23,20,20,20,20
TTO,0,0,0,0,0,0,25,25,25,25,0
TUN,35,30,30,30,30,30,30,30,25,25,25
TUR,20,20,20,20,20,20,20,20,20,20,20
UGA,30,30,30,30,30,30,30,30,30,30,30
UKR,25,25,25,25,25,25,21,19,18,18,18
ARE,55,55,55,55,55,55,55,55,55,55,55
GBR,30,30,30,28,28,26,24,23,21,20,20
USA,40,40,40,40,40,40,40,40,40,40,40
URY,30,30,25,25,25,25,25,25,25,25,25
VUT,0,0,0,0,0,0,0,0,0,0,0
VEN,34,34,34,34,34,34,34,34,34,34,0
VNM,28,28,28,25,25,25,25,25,22,22,0
YEM,35,35,35,35,35,20,20,20,20,20,20
ZMB,35,35,35,35,35,35,35,35,35,35,35
ZWE,30.9,30.9,30.9,30.9,25.75,25.75,25.75,25.75,25.75,25.75,25.75
